"Photon energy, eV", "n", "k"
1.399370061321667,2.98459,1.83749
1.4009512704305052,2.98376,1.83639
1.4025360569355172,2.98294,1.83529
1.4041244329909368,2.98211,1.83419
1.405716410806119,2.98128,1.83309
1.4073120026458537,2.98046,1.83198
1.4089112208306787,2.97963,1.83088
1.410514077737198,2.97881,1.82978
1.4121205857984023,2.97798,1.82868
1.4137307575039877,2.97716,1.82758
1.4153446054006817,2.97633,1.82648
1.4169621420925682,2.97551,1.82538
1.4185833802414154,2.97469,1.82428
1.420208332567007,2.97386,1.82318
1.4218370118474737,2.97304,1.82208
1.4234694309196294,2.97222,1.82097
1.425105602679307,2.9714,1.81987
1.4267455400816997,2.97058,1.81877
1.4283892561417018,2.96976,1.81767
1.4300367639342528,2.96894,1.81657
1.4316880765946849,2.96811,1.81547
1.433343207319072,2.96729,1.81437
1.43500216936458,2.96647,1.81327
1.436664976049823,2.96565,1.81217
1.4383316407552171,2.96483,1.81107
1.4400021769233415,2.96401,1.80996
1.441676598059299,2.96319,1.80886
1.4433549177310794,2.96238,1.80776
1.4450371495699268,2.96156,1.80666
1.4467233072707084,2.96074,1.80556
1.4484134045922863,2.95992,1.80446
1.4501074553578914,2.95911,1.80336
1.4518054734555002,2.95829,1.80226
1.4535074728382147,2.95747,1.80116
1.4552134675246446,2.95666,1.80006
1.4569234715992916,2.95584,1.79895
1.4586374992129378,2.95503,1.79785
1.4603555645830355,2.95421,1.79675
1.4620776819941004,2.9534,1.79565
1.4638038657981076,2.95258,1.79455
1.4655341304148903,2.95177,1.79345
1.467268490332541,2.95096,1.79235
1.4690069601078166,2.95014,1.79125
1.4707495543665448,2.94933,1.79015
1.4724962878040346,2.94852,1.78905
1.4742471751854902,2.94771,1.78794
1.4760022313464252,2.94689,1.78684
1.4777614711930835,2.94608,1.78574
1.4795249097028607,2.94527,1.78464
1.481292561924728,2.94446,1.78354
1.4830644429796618,2.94365,1.78244
1.4848405680610746,2.94284,1.78134
1.4866209524352485,2.94203,1.78024
1.4884056114417734,2.94122,1.77914
1.490194560493987,2.94041,1.77804
1.491987815079419,2.9396,1.77693
1.4937853907602376,2.9388,1.77583
1.4955873031737,2.93799,1.77473
1.4973935680326054,2.93718,1.77363
1.4992042011257523,2.93637,1.77253
1.5010192183183986,2.93557,1.77142
